item_id,frdoc,gold,predicted,error_type,failure_class,failing_designation,which_trace_step_went_wrong,instruction_count,tool_calls_made,instructions_unruled,needs_human_review,trace_rep_verdict,trace_rep_agrees_with_majority
2011-27587|80.905,2011-27587,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,1,8,,False,WILL_EXECUTE,True
2011-27587|80.917,2011-27587,WILL_EXECUTE,WILL_FAIL,false-defect,incomplete-set-out-text,(a),instruction 1,1,2,,False,WILL_FAIL,True
2015-01571|1942.8,2015-01571,WILL_FAIL,WILL_FAIL,right-verdict-possibly-wrong-reason,quoted-text-not-present,(h),instruction 4,4,4,,False,WILL_FAIL,True
2016-09949|1436.3,2016-09949,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,7,3,,False,WILL_EXECUTE,True
2016-09949|1436.8,2016-09949,WILL_EXECUTE,WILL_FAIL,false-defect,target-already-exists,(a)(3),instruction 4,7,6,,True,WILL_FAIL,True
2016-16399|125.6,2016-16399,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,1,2,,False,WILL_EXECUTE,True
2016-18075|774.17,2016-18075,WILL_EXECUTE,WILL_FAIL,false-defect,incorrect-citation-or-designation,,instruction 2,2,1,,False,WILL_FAIL,True
2019-07652|1.199A-1,2019-07652,WILL_EXECUTE,WILL_FAIL,false-defect,incomplete-set-out-text,(b)(10),instruction 1,1,2,,False,WILL_FAIL,True
2020-11897|90.213,2020-11897,WILL_FAIL,WILL_FAIL,right-verdict-possibly-wrong-reason,target-already-exists,(a),instruction 1,1,1,,False,WILL_FAIL,True
2020-11897|90.603,2020-11897,WILL_EXECUTE,WILL_FAIL,false-defect,incomplete-set-out-text,,instruction 1,1,0,,False,WILL_FAIL,True
2020-12588|63.7831,2020-12588,WILL_FAIL,WILL_EXECUTE,missed-defect,target-already-exists,(f)(4),instruction 1,1,1,,False,WILL_FAIL,False
2020-21774|1328.5,2020-21774,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,5,4,,False,WILL_EXECUTE,True
2020-25236|232.11,2020-25236,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,4,4,,False,WILL_EXECUTE,True
2022-10875|1653.2,2022-10875,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,1,7,,False,WILL_EXECUTE,True
2023-25238|981.467,2023-25238,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,3,3,,False,WILL_EXECUTE,True
2024-21984|1321.9,2024-21984,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,1,3,,True,WILL_EXECUTE,True
2024-30575|253.6,2024-30575,WILL_EXECUTE,WILL_FAIL,false-defect,target-does-not-exist,(a)(2),instruction 2,2,3,,False,WILL_FAIL,True
2025-00723|740.6,2025-00723,WILL_EXECUTE,WILL_FAIL,false-defect,incomplete-set-out-text,(a)(1)(iv),instruction 1,1,1,,False,WILL_FAIL,True
2025-00723|742.6,2025-00723,WILL_FAIL,WILL_EXECUTE,missed-defect,incomplete-set-out-text,(a)(13),instruction 1,1,2,,False,WILL_FAIL,False
2026-03157|1037.615,2026-03157,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,4,5,,False,WILL_EXECUTE,True
2026-06808|60.5417b,2026-06808,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,1,5,,False,WILL_EXECUTE,True
2026-11140|149.140,2026-11140,WILL_EXECUTE,WILL_FAIL,false-defect,target-already-exists,(d)(1)(v),instruction 4,6,6,,True,WILL_FAIL,True
2026-11140|149.510,2026-11140,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,6,11,,False,WILL_EXECUTE,True
2026-11648|250.108,2026-11648,WILL_FAIL,WILL_EXECUTE,missed-defect,,,no instruction ruled failing,4,3,,False,WILL_EXECUTE,True
E6-15282|180.207,E6-15282,WILL_EXECUTE,WILL_FAIL,false-defect,target-does-not-exist,(d),instruction 1,1,2,,False,WILL_FAIL,True
